influencer,image_path,tipo_post,visualizacoes,visualizacoes_fonte,interacoes,interacoes_fonte,dedupe_key,status
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/0c517624-6463-49a8-b9e0-302e71740a0c.jpg,feed,5101,visualizacoes,37,soma_componentes,Luiza|feed|5101|37,candidate
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/3bd25077-f04b-450d-9eed-69b665c4b4dd(1).jpg,feed,91343,contas_alcancadas,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/3bd25077-f04b-450d-9eed-69b665c4b4dd.jpg,feed,91343,contas_alcancadas,,,,ignored_exact_duplicate_file
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/6c5c1703-091d-4e81-ad1f-f11884424b8f.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/7fd072bd-4794-4086-b1f9-300096d2ce2d.jpg,feed,,,18231,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/8c495233-85da-405e-81cf-5c52e004fb1c.jpg,feed,48,visualizacoes,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/ca6091e4-1ba3-4c22-9ff6-d6084b38c09b.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/d49cc579-e183-40e1-bbc0-59b73e551746.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 2/d997b04c-c7fb-432f-ba4d-d5fef9d64e70.jpg,feed,135839,visualizacoes,18231,interacoes,Luiza|feed|135839|18231,candidate
Luiza,Luiza/STORIES /STORIES 1/0c8e504f-ba25-442f-ab34-3a0a8bf34beb.jpg,stories,,,324,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 1/7bca95d7-c0ea-465b-8084-f70755f9e000.jpg,stories,7416,visualizacoes,262,interacoes,Luiza|stories|7416|262,candidate
Luiza,Luiza/STORIES /STORIES 1/8eb580ee-2905-4e74-9786-235ca99ed677.jpg,stories,,,301,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 1/9841ce3f-7e11-4c0f-8ff0-1667f3d4a021.jpg,stories,,,262,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 1/bf7545ac-d40a-449c-a279-5423365bc2c5.jpg,stories,7883,visualizacoes,301,interacoes,Luiza|stories|7883|301,candidate
Luiza,Luiza/STORIES /STORIES 1/d18ca8c2-ae55-44de-a830-ac2a315f9fec.jpg,stories,6998,visualizacoes,324,interacoes,Luiza|stories|6998|324,candidate
Luiza,Luiza/STORIES /STORIES 1/da1f66a8-dc12-4a78-9d63-c5fdd640f0fa.jpg,stories,7069,visualizacoes,253,interacoes,Luiza|stories|7069|253,candidate
Luiza,Luiza/STORIES /STORIES 1/f24d69ea-a312-43ff-9eea-716d656a1da5.jpg,stories,,,254,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 2/258eabe3-a6d1-4ecd-aa8e-1e5ea751c135.jpg,stories,,,35,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 2/56d27483-7bc3-49b1-94bf-9c3400f1a864.jpg,stories,,,43,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 2/6b434ee6-02db-40f4-bcf0-75615a619906.jpg,stories,,,68,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/STORIES /STORIES 2/6e5530de-2e2e-4f02-9fc4-fe857af44b6f.jpg,stories,5016,visualizacoes,35,interacoes,Luiza|stories|5016|35,candidate
Luiza,Luiza/STORIES /STORIES 2/6f098a1a-8825-48fe-9fac-3ad91c69838e.jpg,stories,5098,visualizacoes,60,interacoes,Luiza|stories|5098|60,candidate
Luiza,Luiza/STORIES /STORIES 2/6fb63c28-8179-4f7e-a269-638f41f31223.jpg,stories,5342,visualizacoes,43,interacoes,Luiza|stories|5342|43,candidate
Luiza,Luiza/STORIES /STORIES 2/86f8103e-108d-4806-a9b1-d93f224543b5.jpg,stories,5743,visualizacoes,62,interacoes,Luiza|stories|5743|62,candidate
Luiza,Luiza/STORIES /STORIES 2/d3c89873-bc2c-4b31-a062-5a9e8dee6cac.jpg,stories,,,62,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 1 /35938fd4-5cfd-46d0-abeb-d6fd5d443bec.jpg,feed,,,193,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 1 /35a4dab9-8dae-4842-9b74-ba43dc41e7e2.jpg,feed,,,,,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 1 /42681601-18de-4a3c-b8d1-f8974d757d5e.jpg,feed,7054,contas_alcancadas,,,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 1 /4cdcf39d-8bfd-47c7-b9e1-4a1e84516781.jpg,feed,9210,visualizacoes,193,interacoes,Rapha|feed|9210|193,candidate
Rapha,Rapha/REELS/REELS 2 /1eee8279-273c-4c52-a3a7-afb32acb9576.jpg,feed,,,,,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 2 /6af2028d-c129-4035-b579-c1b2e2555257.jpg,feed,,,2514,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 2 /b5301a1e-a646-44db-8bd8-ef1e22e08ad0.jpg,feed,28986,contas_alcancadas,,,,ignored_missing_metrics
Rapha,Rapha/REELS/REELS 2 /ca9374a8-f54f-4a63-915e-dba70f1a9222.jpg,feed,53219,visualizacoes,2509,interacoes,Rapha|feed|53219|2509,candidate
Rapha,Rapha/STORIES/STORIES 1/1a2f6cdb-92dc-4b92-9f87-e153adda8ea5.jpg,stories,,,2,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 1/58da91f3-dd29-4f9c-8fd1-73f7f4cec222.jpg,stories,1490,visualizacoes,28,interacoes,Rapha|stories|1490|28,candidate
Rapha,Rapha/STORIES/STORIES 1/5b989818-3340-4791-8cf4-0b49e4d5be61.jpg,stories,1239,contas_alcancadas,31,soma_componentes,Rapha|stories|1239|31,candidate
Rapha,Rapha/STORIES/STORIES 1/7f9e2ae2-688c-4016-8ec3-c65181076c64.jpg,stories,,,29,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /0a4f6060-01b7-4030-a672-44ed5e6ac8a2.jpg,stories,,,22,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /1cd407c9-12a7-4e4c-bc30-8be89176a6c9.jpg,stories,,,4,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /21e687db-c6b9-4256-b752-17ae14022c7a.jpg,stories,2700,visualizacoes,22,interacoes,Rapha|stories|2700|22,candidate
Rapha,Rapha/STORIES/STORIES 2 /52f86622-9072-4a6e-9364-eab8dee879c2.jpg,stories,3133,visualizacoes,33,interacoes,Rapha|stories|3133|33,candidate
Rapha,Rapha/STORIES/STORIES 2 /53574232-16b4-4fdf-88b9-d1acbb6cdb7d.jpg,stories,,,33,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /5456ad42-200c-4439-9404-0e77e29387c4.jpg,stories,,,3,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /a7fbc438-6f04-4a76-895d-88bda342e88a.jpg,stories,2627,visualizacoes,28,interacoes,Rapha|stories|2627|28,candidate
Rapha,Rapha/STORIES/STORIES 2 /d4f5836f-8b61-4d84-8432-aa6484dcc22a.jpg,stories,,,31,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /d5f58ec9-654a-427b-bdd0-9e649dd000d4.jpg,stories,,,22,soma_componentes,,ignored_missing_metrics
Rapha,Rapha/STORIES/STORIES 2 /e1cf9ccb-ad58-4fd0-981a-26e01f45774f.jpg,stories,2848,contas_alcancadas,30,soma_componentes,Rapha|stories|2848|30,candidate
